id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2797791,Beijing Great Wall Escape,14311129,Andrew,,怀柔区 / Huairou,40.47329,116.54511,Entire home/apt,2000,1,56,2021-07-28,0.60,1,267,3,
4990531,Monthly Discounted- Orchid's Residence Expansive Hutong Home,25729513,Joel,,东城区,39.94193,116.39843,Entire home/apt,1610,29,20,2020-08-21,0.24,10,0,0,
6207089,雍和宫地铁附近崇文门东单南二环精装双床房,32187257,May,,丰台区 / Fengtai,39.86475,116.42335,Entire home/apt,446,1,3,2021-12-22,0.06,6,364,1,
6223892,南苑机场北京南站地铁崇文门情侣观景房,32187257,May,,丰台区 / Fengtai,39.86503,116.42774,Entire home/apt,330,1,1,2019-08-10,0.03,6,364,0,
6232044,同仁协和医院东单五号线地铁旁家庭双床房,32187257,May,,丰台区 / Fengtai,39.86369,116.42801,Entire home/apt,410,1,0,,,6,363,0,
6243409,国贸东单崇文门亦庄蒲黄榆地铁楼上奢侈豪华情侣大床房,32187257,May,,丰台区 / Fengtai,39.86771,116.42152,Entire home/apt,888,1,1,2020-10-02,0.07,6,317,0,
6801565,Zhang's courtyard,35607486,Janice,,怀柔区 / Huairou,40.29164,116.5752,Private room,239,1,1,2016-06-07,0.01,1,365,0,
6862828,Simatai Great Wall Villa,22147091,Shaojie,,密云县 / Miyun,40.65037,117.31313,Entire home/apt,1800,1,2,2020-10-04,0.04,3,357,0,
6956755,未见西山3号院团建聚会轰趴烧烤别墅小院,36474626,李磊,,丰台区 / Fengtai,39.84328,116.08352,Entire home/apt,2266,1,16,2021-12-18,0.23,1,354,3,
7084189,A farmyard house in Qiniang Valley,37119837,Shinefan,,密云县 / Miyun,40.63971,116.74466,Entire home/apt,1028,1,62,2021-10-05,0.93,1,31,11,
7151567,Discovery@A Real Aged Stone Mountain Yard,37454239,Annie,,怀柔区 / Huairou,40.36919,116.51632,Entire home/apt,2400,1,11,2021-08-21,0.16,1,0,3,
7683294,The Nuts Yard 栗子熟了,40336063,Cherry,,怀柔区 / Huairou,40.41232,116.60173,Entire home/apt,680,1,25,2021-06-05,0.36,1,0,1,
8241814,王府井旁胡同里的传统四合院之中式大床房，步行5分钟到东四地铁站,43464691,宸,,东城区,39.92572,116.42193,Private room,175,1,39,2021-11-30,0.54,11,345,9,
8355026,loft经典四人家庭间 110丨市中心四合院可做饭免费咖啡2分钟地铁故宫天安门北海北大人民阜外医院,44037550,曹家四合院,,西城区,39.92642,116.37168,Entire home/apt,499,1,4,2021-09-02,0.06,23,347,3,
8655881,王府井旁胡同里的老北京四合院之复式大床房，步行到地铁站5分钟,43464691,宸,,东城区,39.92716,116.42057,Private room,282,1,78,2021-12-08,1.07,11,349,12,
8691352,王府井旁胡同里的老北京四合院之复式家庭房，步行到地铁站5分钟,43464691,宸,,东城区,39.92639,116.42113,Private room,380,1,71,2021-10-16,0.94,11,341,18,
8691747,胡同里的老北京四合院之男生四人间A，步行到东四地铁站5分钟,43464691,宸,,东城区,39.92668,116.42216,Shared room,85,1,213,2021-09-12,2.83,11,350,5,
8692794,胡同里的老北京四合院之女生四人间，步行到东四地铁站5分钟,43464691,宸,,东城区,39.92639,116.42113,Shared room,75,1,134,2021-11-10,1.77,11,328,13,
8785199,"R1* Frida love,walk to metro station line5/line14",13604427,Iris,,丰台区 / Fengtai,39.86771,116.424629,Private room,471,1,147,2021-10-14,1.95,9,52,5,
8786229,R3*Premium Twin Room IRIS HOUSE,13604427,Iris,,丰台区 / Fengtai,39.86771,116.424629,Private room,497,1,101,2021-10-18,1.35,9,55,6,
8786445,R5*Premium Twin Room IRIS HOUSE,13604427,Iris,,丰台区 / Fengtai,39.86771,116.424629,Private room,483,1,122,2021-01-03,1.62,9,328,2,
