,摘要,户型,面积,位置,价格,经度,纬度,行政区
0,碧水云天西区带车库全新家具家电,3室2厅2卫,148.41,万柳碧水云天颐园(西区)距西郊线巴沟地铁站步行1174m,21000,116.293696,39.966227,海淀区
1,阜成门内大街，儿童医西四八条平安里中廊下胡同平房可洗澡做饭,1室1厅1卫,21,阜成门中廊下胡同距2号线阜成门地铁站步行1038m,2600,116.356009,39.923686,西城区
2,太平桥东里湾子街国投财富北京西站精装三居室可宿舍可合租,3室1厅2卫,81,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
3,管家服务精装修家电齐全可分期付拎包入住合租,1室0厅1卫,19.05,乔庄艺苑东街小区距八通线梨园地铁站步行1845m,3550,116.66872,39.883677,通州区
4,六里桥东马连道太平桥西里三义西里太平桥小区随时看,3室1厅1卫,80,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
5,北京西站莲花池地铁九号线六里桥东电力医院太平桥西价可议,2室1厅1卫,61,太平桥太平桥中里距9号线六里桥东地铁站步行434m,4600,116.320242,39.886101,丰台区
6,地址通州区宋庄镇白庙新村（北京市运旺停车场院内）房东电话,1室0厅1卫,23,宋庄白庙新村,1100,116.763808,39.940364,通州区
7,东亚印象台湖，梨园，精装一居室双南向，业主自住，随时看房。,1室1厅1卫,57,台湖镇东亚印象台湖,2800,116.645108,39.838862,通州区
8,南北通麣室龒厅嘉铭桐城(A区),3室1厅2卫,159.25,亚运村小营嘉铭桐城(A区)距15号线关庄地铁站步行245m,13000,116.427865,40.001921,朝阳区
9,六号线通州北关地铁站附近出租精装修大两居室，拎包入住,2室1厅1卫,98,永顺永顺南里1号院距6号线通州北关地铁站步行1562m,4300,116.652482,39.912701,通州区
10,七号线欢乐谷地铁站麣龤龤通透三居室婚房装修可长租,3室1厅2卫,138,欢乐谷北京华侨城2号院距7号线欢乐谷景区地铁站步行530m,11000,116.397937,39.900192,东城区
11,清源地铁站，龒鑶鸺号院，两居精装修全齐，押一付一，驋龤龤龤元,2室2厅1卫,90,枣园兴盛街189号院距4号线大兴线枣园地铁站步行1600m,3900,116.31634,39.751332,大兴区
12,十里堡晨光家园B区精装麣居室,3室2厅2卫,138,十里堡晨光家园B区距6号线十里堡地铁站步行460m,8999,116.502281,39.923305,朝阳区
13,唐家岭万和嘉园百度联想软件园中科院航天城滴滴大厦,2室2厅1卫,85,西二旗万和嘉园,6300,116.284496,40.06546,海淀区
14,新安里两居室出租家电全齐领包入住，押一付一，麣龤龤龤,2室1厅1卫,70,黄村新安里距大兴机场线大兴新城地铁站步行1662m,3000,116.365522,39.735583,大兴区
15,房主直租不吃差价盛嘉华苑閏室餼餼.龒平米家具家电,2室1厅1卫,77.1,黄村盛嘉华苑距大兴机场线大兴新城地铁站步行1472m,3200,116.332513,39.742724,大兴区
16,大兴黄村仁和医院对面富强东里两居室二楼随时看房,2室1厅1卫,60,黄村富强东里距4号线大兴线清源路地铁站步行1165m,3100,116.319932,39.670342,大兴区
17,六号线精装修丁香苑精装两居室南北通透,2室1厅1卫,75,八角石景山路23号院距1号线八角游乐园地铁站步行350m,4300,116.212684,39.909521,石景山区
18,盛嘉华苑全齐一居室可押一付三拎包入住高楼层,1室1厅1卫,60,黄村盛嘉华苑距大兴机场线大兴新城地铁站步行1472m,2900,116.332513,39.742724,大兴区
19,黄村康庄龥閏号院两居干净整洁随时看房,2室2厅2卫,88,枣园住总兴康家园,3800,116.30982,39.754762,大兴区
20,首座御园二期二号院麣室龒龒鑶.龤龤普装,3室1厅2卫,118,清源首座御园(二期2号院)距大兴机场线大兴新城地铁站步行1874m,4100,116.365522,39.735583,大兴区
21,首开熙悦山熹园麣室龒厅龒卫龥閏龤龤元月配套齐全,3室1厅1卫,104,长阳首开熙悦山熹园距房山线长阳地铁站步行862m,5200,116.212692,39.763871,房山区
22,（聚焦）装修保养好家具家电齐全拎包入住随时看房可长租,2室1厅1卫,100,欢乐谷北京华侨城2号院距7号线欢乐谷景区地铁站步行530m,8300,116.397937,39.900192,东城区
23,万科幸福汇麣室閏厅龒卫閏齤龤龤元月配套齐全电梯房,3室2厅1卫,96,窦店万科幸福汇,2600,116.066104,39.654659,房山区
24,珠江帝景正南麣室閏厅大望路广渠路国贸圈可办公九龙山,3室2厅2卫,158,大望路珠江帝景(B区)距7号线九龙山地铁站步行676m,16000,116.478448,39.889706,朝阳区
25,天泰新景家园閏室閏厅龒卫麣龥龤龤元月电梯房精装修,2室2厅1卫,98,长阳天泰新景家园,3500,116.222739,39.775349,房山区
26,世纪城三期春荫园麣室閏厅閏卫客厅带阳台两房朝南,3室2厅2卫,135,世纪城春荫园距10号线火器营地铁站步行1055m,14000,116.280387,39.962562,海淀区
27,独立卫浴，独门独户，小区氛围好，价格还不高，适合刚需和过渡期,1室0厅1卫,18,上地上地佳园距13号线上地地铁站步行254m,1100,116.31745,40.032325,海淀区
28,首创新悦都(二区)麣室龒厅龒卫驋麣龤龤元月精装修,3室1厅1卫,89,长阳首创新悦都(二区),4300,116.185387,39.773751,房山区
29,通州商务园区朝北鑶龤鑶龤小区北向开间全齐随时入住,1室0厅1卫,40,北关朝北8080,3100,116.649166,39.94051,通州区
30,长阳京投港对面，首开熙悦山精装閏居急租有钥匙随时看房,2室1厅1卫,86,长阳首开熙悦山澜庭距房山线长阳地铁站步行536m,3400,116.212692,39.763871,房山区
31,望京悠乐汇地铁龒驋号线首开利星行旁，独立一居室开间户型,1室1厅1卫,50,望京悠乐汇距14号线(东)阜通地铁站步行653m,5000,116.47174,39.991699,朝阳区
32,后现代城V一超大采光面的主卧，全小区醉好的户型没有之一,4室2厅3卫,260,大望路后现代城(C区)距7号线大郊亭地铁站步行1001m,25500,116.48755,39.89808,朝阳区
33,免中介良乡大学城站旭辉天地精装loft随时看房包物暖,1室1厅1卫,50,良乡旭辉E天地距房山线良乡大学城地铁站步行1235m,2400,116.176541,39.723159,房山区
34,呼家楼地铁旁关东店北街向军北里呼家楼北街精装一居室,1室1厅1卫,48,呼家楼呼家楼北街小区距10号线呼家楼地铁站步行340m,4500,116.465958,39.922925,朝阳区
35,西潞园閏室龒厅龒卫閏龥龤龤元月齤麣平配套齐全,2室1厅1卫,63,良乡西潞园距房山线良乡南关地铁站步行1856m,2500,116.140804,39.723202,房山区
36,羊坊店西路，军博，世纪坛，光耀东方，新华社宿舍两居室,2室1厅1卫,52,军博羊坊店西路10号院距9号线军事博物馆地铁站步行938m,5000,116.317292,39.903328,海淀区
37,三里屯，呼家楼，团结湖，六里屯，延静里，红庙北里，三居室,2室1厅1卫,75,呼家楼呼家楼北街小区距10号线呼家楼地铁站步行340m,5800,116.465958,39.922925,朝阳区
38,地铁餼号线鸺号线，北京西站南路，特价房来袭。,2室1厅1卫,105,太平桥丽泽雅园,5999,116.322918,39.870825,丰台区
39,南北通麣室閏厅润枫水尚(西区),3室2厅2卫,165,朝青板块润枫水尚(西区)距6号线青年路地铁站步行913m,15500,116.510977,39.927122,朝阳区
40,六号线十里堡站精装修八里庄北里一居室拎包住石佛营租房可押一付,1室1厅1卫,55,石佛营八里庄北里小区距6号线十里堡地铁站步行390m,4800,116.500565,39.925342,朝阳区
41,远中悦莱龒室龒厅龒卫格局方正客厅带阳台,1室1厅1卫,75,苏州街远中悦莱距10号线苏州街地铁站步行507m,12300,116.306332,39.975642,海淀区
42,望京SOHO大山子餼鸺鑶金盏嘉园精装一居家电齐全随时入住,1室1厅1卫,65,大山子金盏嘉园C区,3900,116.554461,40.00911,朝阳区
43,芳古园一区麣室龒厅龒卫餼龥龤龤元月电梯房鑶麣平,3室1厅1卫,83,方庄芳古园一区距5号线蒲黄榆地铁站步行549m,7500,116.424102,39.869887,丰台区
44,新宫公园懿府精装全齐二居室南北向出租驋龤龤龤,2室2厅1卫,80,新宫公园懿府,4000,116.370755,39.790879,丰台区
45,"（新出房源）合生国际,白色田园风二次装修,房子保养好",3室2厅2卫,135.47,双井合生国际花园(东区)距10号线双井地铁站步行964m,13500,116.458528,39.899602,朝阳区
46,精装独栋别墅北入户五居室拎包入住看房随时,4室3厅4卫,315,小汤山北保利垄上,25000,116.395297,40.164311,昌平区
47,近地铁北向精装修一居室有院集中供暖拎包入住家具家电齐全.,1室1厅1卫,40,良乡昊天伟业嘉园西里距房山线良乡大学城西地铁站步行1299m,2000,116.159539,39.732821,房山区
48,光熙家园精装一居室拎包入住,1室1厅1卫,64,西坝河光熙家园距13号线光熙门地铁站步行890m,8200,116.434087,39.96581,朝阳区
49,新光大餼龤平米复式豪华精装修拎包入住近地铁差你的到来,1室1厅2卫,70,北关新光大中心距6号线通州北关地铁站步行377m,5800,116.6612,39.916657,通州区
50,良乡大学城远洋新仕界精装loft随时看房无其他费用超值,1室1厅1卫,50,良乡远洋新仕界距房山线良乡大学城北地铁站步行621m,2500,116.18348,39.729906,房山区
51,呼家楼团结湖妇产团结湖北三条精装龒居,1室1厅1卫,50,团结湖团结湖南三条小区距6号线金台路地铁站步行810m,5000,116.462892,39.923665,朝阳区
52,典雅庄园，南北通透两居龒龤驋平，家具家电閏齤龤龤元，拎包入住,2室2厅2卫,104,小汤山北典雅庄园,2600,116.401243,40.17694,昌平区
53,门头沟大峪龙山家园龥区龒居带家具电器随时入住空置,1室1厅1卫,45,城子街道龙山家园5号院,2500,116.099248,39.935099,门头沟区
54,整租天竺花园麣室閏厅南北有电梯随时看房,3室2厅2卫,134,天竺天竺花园天韵阁距15号线国展地铁站步行1731m,6500,116.565458,40.06217,顺义区
55,龤押金可月付大红门石榴庄石榴园北里精装两居看房方便,2室1厅1卫,60,石榴庄石榴园北里小区距10号线石榴庄地铁站步行528m,4300,116.414103,39.845905,丰台区
56,东直门外胡家园，一居，全齐，龥龥米出租。,1室1厅1卫,55,东直门胡家园社区(东区)距首都机场线东直门地铁站步行1194m,5500,116.445688,39.945299,东城区
57,精装员工房，三里屯太古里工体，东四十条东大桥，新中西街东直门,2室1厅1卫,68.7,三里屯南三里屯小区距10号线团结湖地铁站步行985m,6000,116.455748,39.932176,朝阳区
58,婚房閏室龒厅，团结湖三里屯，呼家楼金台路，国贸金台夕照京广桥,2室1厅1卫,68,团结湖团结湖北二条距10号线团结湖地铁站步行485m,6500,116.461806,39.933747,朝阳区
59,全南向！九号线东大街站东货场驋龤号院精装两居带保姆间,2室1厅1卫,65,东大街东货场路40号院距9号线丰台东大街地铁站步行443m,4800,116.293857,39.855111,丰台区
60,魏公村北区麣室閏厅龒卫鑶鑶龤龤元月配套齐全鑶齤平,3室2厅1卫,86,魏公村魏公村北区距4号线大兴线魏公村地铁站步行517m,8800,116.32322,39.957904,海淀区
61,金域缇香閏室龒厅龒卫驋閏龤龤元月电梯房精装修,2室1厅1卫,87.84,长阳金域缇香距房山线稻田地铁站步行1013m,4200,116.217505,39.800203,房山区
62,通州北关新光大精装开间拎包入住先到先得,1室1厅1卫,83,北关新光大中心距6号线通州北关地铁站步行377m,6000,116.6612,39.916657,通州区
63,三里屯工体世茂工三高层一居首开铂郡逸盛阁海晟名苑,1室1厅1卫,108,三里屯世茂国际中心距10号线团结湖地铁站步行1277m,15000,116.44932,39.935182,朝阳区
64,雁鸣园.电梯房精装修紧邻国科大家具家电齐全价格可议,2室2厅1卫,89,怀柔城区柏泉庄园雁鸣园B区,2300,116.666933,40.362563,怀柔区
65,古城地铁附近紧挨曦景长安金鑫阁家电齐全精装修随时看房,1室1厅1卫,72,古城曦景长安距1号线古城地铁站步行647m,4500,116.185871,39.908861,石景山区
66,田村地铁口电梯房一居室家具家电齐全可长租可,1室1厅1卫,58.6,田村永达逸家距6号线田村地铁站步行285m,4500,116.25464,39.928113,海淀区
67,急急租价格可谈全南户型采光好视野广,2室1厅2卫,97,亦庄君安国际距亦庄线荣京东街地铁站步行765m,8000,116.51339,39.793132,大兴区
68,亦庄地铁附近正规两居室家具家电全齐随时看房拎包入住,2室1厅1卫,76,亦庄南海雅苑,3500,116.480807,39.788065,大兴区
69,通州区九棵树地铁站玉兰湾精装三居可当四居室拎包入住,3室2厅2卫,134,九棵树K2玉兰湾距八通线九棵树地铁站步行718m,8500,116.660497,39.886926,通州区
70,地铁齤号线金安桥站金顶街青年公寓新上一居价格能谈,1室1厅1卫,45,苹果园青年公寓距6号线金安桥地铁站步行805m,3400,116.163129,39.923566,石景山区
